Name,ConversationIdentifier,ExtractedAccuracyScore,IsPrimaryExtensionArtifactPhase2,CalculatedStatus,ExpTransformerIsSyntaxFree
TA10624-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10621-2024-08-08-10624-Voice-Activated Controls:-Trial-,10621,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10625-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10621-2024-08-08-10625-Customizable User Profile-Trial-,10621,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10626-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10621-2024-08-08-10626-Eco-conscious Subscriptio-Trial-,10621,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10627-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10627-2024-08-08-10627-For our upcoming music st-Trial-,10627,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10628-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10627-2024-08-08-10628-Offline Playback Capabili-Trial-,10627,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10630-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10627-2024-08-08-10630-Voice-Activated Controls:-Trial-,10627,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10631-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10627-2024-08-08-10631-Customizable User Profile-Trial-,10627,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10632-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10627-2024-08-08-10632-Eco-conscious Subscriptio-Trial-,10627,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10633-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10633-2024-08-08-10633-For our upcoming music st-Trial-,10633,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10634-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10633-2024-08-08-10634-Offline Playback Capabili-Trial-,10633,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10635-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10633-2024-08-08-10635-Voice-Activated Controls:-Trial-,10633,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA11278-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10633-2024-08-08-11278-Customizable User Profile-Trial-,10633,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA11279-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10633-2024-08-08-11279-Eco-conscious Subscriptio-Trial-,10633,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10637-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10637-2024-08-08-10637-For our upcoming music st-Trial-,10637,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10639-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10637-2024-08-08-10639-Offline Playback Capabili-Trial-,10637,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10641-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10637-2024-08-08-10641-Voice-Activated Controls:-Trial-,10637,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10642-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10637-2024-08-08-10642-Customizable User Profile-Trial-,10637,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10643-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10637-2024-08-08-10643-Eco-conscious Subscriptio-Trial-,10637,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10644-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10644-2024-08-08-10644-For our upcoming music st-Trial-,10644,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10645-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10644-2024-08-08-10645-Offline Playback Capabili-Trial-,10644,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10646-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10644-2024-08-08-10646-Voice-Activated Controls:-Trial-,10644,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10647-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10644-2024-08-08-10647-Customizable User Profile-Trial-,10644,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10649-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10644-2024-08-08-10649-Eco-conscious Subscriptio-Trial-,10644,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10650-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10650-2024-08-08-10650-For our upcoming music st-Trial-,10650,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10651-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10650-2024-08-08-10651-Offline Playback Capabili-Trial-,10650,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10652-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10650-2024-08-08-10652-Voice-Activated Controls:-Trial-,10650,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA11291-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10650-2024-08-08-11291-Customizable User Profile-Trial-,10650,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10654-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10650-2024-08-08-10654-Eco-conscious Subscriptio-Trial-,10650,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10661-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10661-2024-08-08-10661-For our upcoming music st-Trial-,10661,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10662-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10661-2024-08-08-10662-Offline Playback Capabili-Trial-,10661,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10664-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10661-2024-08-08-10664-Voice-Activated Controls:-Trial-,10661,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10665-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10661-2024-08-08-10665-Customizable User Profile-Trial-,10661,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10666-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10661-2024-08-08-10666-Eco-conscious Subscriptio-Trial-,10661,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10667-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10667-2024-08-08-10667-For our upcoming music st-Trial-,10667,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10668-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10667-2024-08-08-10668-Offline Playback Capabili-Trial-,10667,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10669-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10667-2024-08-08-10669-Voice-Activated Controls:-Trial-,10667,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10670-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10667-2024-08-08-10670-Customizable User Profile-Trial-,10667,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10671-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10667-2024-08-08-10671-Eco-conscious Subscriptio-Trial-,10667,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10672-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10672-2024-08-08-10672-For our upcoming music st-Trial-,10672,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10674-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10672-2024-08-08-10674-Offline Playback Capabili-Trial-,10672,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10676-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10672-2024-08-08-10676-Voice-Activated Controls:-Trial-,10672,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10677-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10672-2024-08-08-10677-Customizable User Profile-Trial-,10672,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10679-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10672-2024-08-08-10679-Eco-conscious Subscriptio-Trial-,10672,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10681-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10681-2024-08-08-10681-For our upcoming music st-Trial-,10681,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10683-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10681-2024-08-08-10683-Offline Playback Capabili-Trial-,10681,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10685-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10681-2024-08-08-10685-Voice-Activated Controls:-Trial-,10681,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10686-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10681-2024-08-08-10686-Customizable User Profile-Trial-,10681,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10687-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10681-2024-08-08-10687-Eco-conscious Subscriptio-Trial-,10681,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10893-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10893-2024-08-07-10893-For our upcoming music st-Trial-,10893,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10895-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10893-2024-08-07-10895-Offline Playback Capabili-Trial-,10893,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10896-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10893-2024-08-07-10896-Voice-Activated Controls:-Trial-,10893,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10898-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10893-2024-08-07-10898-Customizable User Profile-Trial-,10893,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10006-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10893-2024-08-07-10006-Eco-conscious Subscriptio-Trial-,10893,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA11293-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-11293-2024-08-08-11293-For our upcoming music st-Trial-,11293,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10656-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-11293-2024-08-08-10656-Offline Playback Capabili-Trial-,11293,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10658-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-11293-2024-08-08-10658-Voice-Activated Controls:-Trial-,11293,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10659-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-11293-2024-08-08-10659-Customizable User Profile-Trial-,11293,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10660-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-11293-2024-08-08-10660-Eco-conscious Subscriptio-Trial-,11293,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10015-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13719-2024-08-07-10015-Voice-Activated Controls:-Trial-,13719,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10908-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13719-2024-08-07-10908-Customizable User Profile-Trial-,13719,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10016-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13719-2024-08-07-10016-Eco-conscious Subscriptio-Trial-,13719,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10027-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13739-2024-08-07-10027-Voice-Activated Controls:-Trial-,13739,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10028-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13739-2024-08-07-10028-Customizable User Profile-Trial-,13739,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10029-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13739-2024-08-07-10029-Eco-conscious Subscriptio-Trial-,13739,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10038-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13759-2024-08-07-10038-Voice-Activated Controls:-Trial-,13759,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10040-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13759-2024-08-07-10040-Customizable User Profile-Trial-,13759,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10041-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13759-2024-08-07-10041-Eco-conscious Subscriptio-Trial-,13759,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10052-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13779-2024-08-07-10052-Voice-Activated Controls:-Trial-,13779,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10053-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13779-2024-08-07-10053-Customizable User Profile-Trial-,13779,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10054-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13779-2024-08-07-10054-Eco-conscious Subscriptio-Trial-,13779,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10058-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13789-2024-08-07-10058-Voice-Activated Controls:-Trial-,13789,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10060-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13789-2024-08-07-10060-Customizable User Profile-Trial-,13789,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10061-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13789-2024-08-07-10061-Eco-conscious Subscriptio-Trial-,13789,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10076-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13819-2024-08-07-10076-Voice-Activated Controls:-Trial-,13819,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10078-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13819-2024-08-07-10078-Customizable User Profile-Trial-,13819,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10079-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13819-2024-08-07-10079-Eco-conscious Subscriptio-Trial-,13819,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10090-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13839-2024-08-07-10090-Voice-Activated Controls:-Trial-,13839,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10091-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13839-2024-08-07-10091-Customizable User Profile-Trial-,13839,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10092-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13839-2024-08-07-10092-Eco-conscious Subscriptio-Trial-,13839,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10096-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13849-2024-08-07-10096-Voice-Activated Controls:-Trial-,13849,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10097-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13849-2024-08-07-10097-Customizable User Profile-Trial-,13849,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10098-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13849-2024-08-07-10098-Eco-conscious Subscriptio-Trial-,13849,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10108-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13869-2024-08-07-10108-Voice-Activated Controls:-Trial-,13869,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10109-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13869-2024-08-07-10109-Customizable User Profile-Trial-,13869,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10110-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13869-2024-08-07-10110-Eco-conscious Subscriptio-Trial-,13869,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA11514-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13879-2024-08-07-11514-Customizable User Profile-Trial-,13879,3.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10969-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13879-2024-08-07-10969-Eco-conscious Subscriptio-Trial-,13879,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10136-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13919-2024-08-07-10136-Voice-Activated Controls:-Trial-,13919,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10138-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13919-2024-08-07-10138-Customizable User Profile-Trial-,13919,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10983-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13919-2024-08-07-10983-Eco-conscious Subscriptio-Trial-,13919,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10142-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13929-2024-08-07-10142-Voice-Activated Controls:-Trial-,13929,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10143-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13929-2024-08-07-10143-Customizable User Profile-Trial-,13929,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10144-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13929-2024-08-07-10144-Eco-conscious Subscriptio-Trial-,13929,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10175-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13979-2024-08-07-10175-Voice-Activated Controls:-Trial-,13979,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10177-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13979-2024-08-07-10177-Customizable User Profile-Trial-,13979,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10178-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13979-2024-08-07-10178-Eco-conscious Subscriptio-Trial-,13979,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10199-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14019-2024-08-07-10199-Voice-Activated Controls:-Trial-,14019,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10201-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14019-2024-08-07-10201-Customizable User Profile-Trial-,14019,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10202-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14019-2024-08-07-10202-Eco-conscious Subscriptio-Trial-,14019,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10206-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14029-2024-08-07-10206-Voice-Activated Controls:-Trial-,14029,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10207-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14029-2024-08-07-10207-Customizable User Profile-Trial-,14029,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10208-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14029-2024-08-07-10208-Eco-conscious Subscriptio-Trial-,14029,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10233-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14072-2024-08-07-10233-Eco-conscious Subscriptio-Trial-,14072,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10276-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14139-2024-08-07-10276-Voice-Activated Controls:-Trial-,14139,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10277-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14139-2024-08-07-10277-Customizable User Profile-Trial-,14139,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10278-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14139-2024-08-07-10278-Eco-conscious Subscriptio-Trial-,14139,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10320-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14209-2024-08-07-10320-Voice-Activated Controls:-Trial-,14209,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10322-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14209-2024-08-07-10322-Customizable User Profile-Trial-,14209,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10323-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14209-2024-08-07-10323-Eco-conscious Subscriptio-Trial-,14209,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10327-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14219-2024-08-07-10327-Voice-Activated Controls:-Trial-,14219,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10328-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14219-2024-08-07-10328-Customizable User Profile-Trial-,14219,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA11092-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14219-2024-08-07-11092-Eco-conscious Subscriptio-Trial-,14219,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10353-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14259-2024-08-07-10353-Voice-Activated Controls:-Trial-,14259,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA11105-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14259-2024-08-07-11105-Customizable User Profile-Trial-,14259,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10354-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14259-2024-08-07-10354-Eco-conscious Subscriptio-Trial-,14259,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10357-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14269-2024-08-07-10357-Voice-Activated Controls:-Trial-,14269,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10358-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14269-2024-08-07-10358-Customizable User Profile-Trial-,14269,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10359-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14269-2024-08-07-10359-Eco-conscious Subscriptio-Trial-,14269,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10369-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14289-2024-08-07-10369-Voice-Activated Controls:-Trial-,14289,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10371-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14289-2024-08-07-10371-Customizable User Profile-Trial-,14289,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10372-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14289-2024-08-07-10372-Eco-conscious Subscriptio-Trial-,14289,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10381-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14309-2024-08-07-10381-Voice-Activated Controls:-Trial-,14309,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
